,CUSTOMER_LATITUDE,CUSTOMER_LONGITUDE,CUSTOMER_TIME_WINDOW_FROM_MIN,CUSTOMER_TIME_WINDOW_TO_MIN,CUSTOMER_DELIVERY_SERVICE_TIME_MIN,TOTAL_WEIGHT_KG,a,b,d
1,44.05671,17.44928,481.0,961.0,8.05,3.372,481.0,961.0,8.05
2,43.111171,17.69928539,481.0,961.0,21.57,172.633,481.0,961.0,21.57
3,44.05547,17.45164,481.0,961.0,10.6,44.662,481.0,961.0,10.6
4,44.05528662,17.44944653,480.0,840.0,14.79,62.259,480.0,840.0,14.79
5,43.1877,17.54378,480.0,840.0,35.0,179.824,480.0,840.0,35.0
6,43.19804455,17.54583621,480.0,840.0,20.0,74.96,480.0,840.0,20.0
7,43.23378182,17.48850024,480.0,840.0,35.0,133.112,480.0,840.0,35.0
8,43.71415,17.23875,481.0,961.0,15.92,283.201,481.0,961.0,15.92
9,44.08412,17.44531,481.0,961.0,9.28,8.452,481.0,961.0,9.28
10,42.91402,17.62646,481.0,961.0,34.26,229.406,481.0,961.0,34.26
11,43.47250393,17.33253785,481.0,961.0,12.25,15.993054,481.0,961.0,12.25
12,43.18099187,17.51800561,481.0,961.0,11.81,27.195,481.0,961.0,11.81
13,42.92687,17.61432,481.0,961.0,56.67,580.018,481.0,961.0,56.67
14,42.92399,17.61613,481.0,961.0,24.6,168.424,481.0,961.0,24.6
15,42.90571,17.63831,481.0,961.0,8.69,8.776572,481.0,961.0,8.69
16,42.91168,17.62751,481.0,961.0,20.11,91.146,481.0,961.0,20.11
17,43.37446,17.60252,481.0,961.0,43.39,352.321,481.0,961.0,43.39
18,43.3742,17.60264,481.0,961.0,10.0,18.9,481.0,961.0,10.0
19,43.37812828,17.60419065,481.0,961.0,8.53,12.6,481.0,961.0,8.53
20,43.20796107,17.66911054,481.0,961.0,14.7,47.152,481.0,961.0,14.7
21,43.387208,17.591035,481.0,961.0,15.0,15.982,481.0,961.0,15.0
22,43.3814385,17.86956573,481.0,961.0,8.76,7.902,481.0,961.0,8.76
23,43.36369616,17.8181746,481.0,961.0,10.35,15.429162,481.0,961.0,10.35
24,43.39383,17.57821,481.0,961.0,8.11,2.767,481.0,961.0,8.11
25,43.34349087,17.42895657,481.0,961.0,12.55,44.3811165,481.0,961.0,12.55
26,43.39015,17.48427,481.0,961.0,8.15,11.089,481.0,961.0,8.15
27,42.92083,17.61884,481.0,961.0,12.27,29.492484,481.0,961.0,12.27
28,43.11149604,17.70197296,480.0,840.0,11.59,32.4933,480.0,840.0,11.59
29,43.11155,17.71267,480.0,900.0,9.61,74.042,480.0,900.0,9.61
30,43.18971973,17.67991856,481.0,961.0,11.96,30.367575,481.0,961.0,11.96
31,43.36396136,17.41756254,481.0,961.0,8.98,45.5532,481.0,961.0,8.98
32,43.19608921,17.56051326,481.0,961.0,12.37,47.76072,481.0,961.0,12.37
33,42.71806,18.3462,481.0,961.0,15.0,20.454,481.0,961.0,15.0
34,43.35179,17.78064,481.0,961.0,15.82,75.826,481.0,961.0,15.82
35,43.3431,17.77585,481.0,961.0,8.04,2.3562,481.0,961.0,8.04
36,43.3547,17.79994,481.0,961.0,7.92,11.55,481.0,961.0,7.92
37,43.32111,17.81938,481.0,961.0,19.49,69.507,481.0,961.0,19.49
38,43.34294,17.81407,481.0,961.0,12.27,15.766443,481.0,961.0,12.27
39,43.36667957,17.66390735,480.0,900.0,8.09,23.1,480.0,900.0,8.09
40,43.29281,17.76174,480.0,900.0,11.2,19.18098,480.0,900.0,11.2
41,43.37883011,17.60266715,480.0,900.0,22.0,81.505,480.0,900.0,22.0
42,43.37845,17.59686,480.0,900.0,13.0,17.743,480.0,900.0,13.0
43,43.37751,17.564424,480.0,900.0,28.61,371.156,480.0,900.0,28.61
44,43.34828,17.79084,480.0,900.0,11.47,11.1824895,480.0,900.0,11.47
45,43.40848,17.87487,480.0,900.0,20.74,185.692,480.0,900.0,20.74
46,43.34937,17.80554,480.0,900.0,8.88,5.213,480.0,900.0,8.88
47,43.32004,17.81924,480.0,900.0,12.23,34.52358,480.0,900.0,12.23
48,43.18714077,17.67758632,480.0,900.0,16.49,73.811,480.0,900.0,16.49
49,43.19626128,17.67544055,480.0,900.0,25.19,198.37,480.0,900.0,25.19
50,44.05592,17.44936,480.0,840.0,27.0,113.739,480.0,840.0,27.0
51,44.04766052,17.45128327,480.0,840.0,19.8,89.641,480.0,840.0,19.8
52,44.04291,17.45188,480.0,840.0,20.0,68.377,480.0,840.0,20.0
53,43.82316,17.00823,481.0,961.0,17.66,95.4,481.0,961.0,17.66
54,43.82438,17.00608,481.0,961.0,9.86,9.551661,481.0,961.0,9.86
55,43.80397,16.99452,481.0,961.0,16.46,84.887,481.0,961.0,16.46
56,43.06842,17.666886,481.0,961.0,16.64,76.798,481.0,961.0,16.64
57,43.71489,17.22924,480.0,900.0,7.77,0.617,480.0,900.0,7.77
58,43.71959,17.22727,480.0,900.0,11.16,36.1935,480.0,900.0,11.16
59,43.64127,17.23204,480.0,900.0,15.69,48.465207,480.0,900.0,15.69
60,43.63608,17.30644,480.0,900.0,10.16,15.4917,480.0,900.0,10.16
61,43.72212,17.22354,480.0,900.0,11.98,21.1785,480.0,900.0,11.98
62,43.38069,17.58241,480.0,840.0,15.0,8.432,480.0,840.0,15.0
63,43.34648,17.79849,481.0,961.0,13.41,7.7112,481.0,961.0,13.41
64,43.11702541,17.69645834,480.0,840.0,10.46,10.694187,480.0,840.0,10.46
65,43.36742443,17.42228323,481.0,961.0,11.5,6.107,481.0,961.0,11.5
66,43.20168914,17.66975427,481.0,961.0,9.12,16.59,481.0,961.0,9.12
67,43.10913847,17.69950533,481.0,961.0,9.47,17.8185,481.0,961.0,9.47
68,43.47386757,17.32754731,481.0,961.0,10.71,23.106,481.0,961.0,10.71
69,43.34159,17.81442,481.0,961.0,8.78,0.4998,481.0,961.0,8.78
70,43.34062,17.80757,481.0,961.0,8.78,1.3335,481.0,961.0,8.78
71,43.40957,17.87506,481.0,961.0,8.53,1.7136,481.0,961.0,8.53
72,43.36378,17.82157,480.0,840.0,11.35,30.806,480.0,840.0,11.35
73,43.30208,17.82904,480.0,840.0,8.6,4.2861,480.0,840.0,8.6
74,42.94815,18.09405,481.0,961.0,15.0,28.035,481.0,961.0,15.0
75,42.8691,18.42558,481.0,961.0,17.5,37.681,481.0,961.0,17.5
76,43.82307,16.99657,480.0,840.0,37.63,221.359,480.0,840.0,37.63
77,43.36655,17.64331,481.0,961.0,15.0,17.227,481.0,961.0,15.0
78,43.34568,17.80545,481.0,961.0,8.02,15.75,481.0,961.0,8.02
79,43.66258412,17.76279503,480.0,840.0,19.43,62.755,480.0,840.0,19.43
80,43.31139,17.83113,481.0,961.0,12.53,122.524,481.0,961.0,12.53
81,43.32605,17.82229,480.0,840.0,8.93,6.474,480.0,840.0,8.93
82,43.3614283,17.57430169,481.0,961.0,10.0,23.1,481.0,961.0,10.0
83,43.33978,17.80215,480.0,900.0,16.74,94.701,480.0,900.0,16.74
84,43.20028138,17.57759357,481.0,961.0,15.0,5.575,481.0,961.0,15.0
85,43.35112,17.79835,480.0,840.0,12.84,39.409,480.0,840.0,12.84
86,43.33916,17.80854,480.0,840.0,14.21,46.989,480.0,840.0,14.21
87,43.13381,17.77357,481.0,961.0,8.64,6.233,481.0,961.0,8.64
88,43.08457827,17.71831298,481.0,961.0,8.64,23.94,481.0,961.0,8.64
89,43.36989137,17.4294246,481.0,961.0,9.13,14.31927,481.0,961.0,9.13
90,43.35028,17.78358,481.0,961.0,10.05,8.387568,481.0,961.0,10.05
91,43.30804,17.82271,481.0,961.0,7.77,0.636,481.0,961.0,7.77
